Borough,Census Tract,Population
Brooklyn,57600,2836
Brooklyn,57800,2988
Brooklyn,57900,1362
Brooklyn,58000,3149
Brooklyn,58200,2999
Brooklyn,58400,3528
Brooklyn,58600,2327
Brooklyn,58800,3473
Brooklyn,58900,1774
Brooklyn,59000,1878
Brooklyn,59100,4277
Brooklyn,59200,3987
Brooklyn,59300,2488
Brooklyn,59401,7875
Brooklyn,59402,4614
Brooklyn,59600,2249
Brooklyn,59800,3310
Brooklyn,60000,6116
Brooklyn,60600,2472
Brooklyn,60800,3725
Brooklyn,61002,2747
Brooklyn,61003,1974
Brooklyn,61004,6582
Brooklyn,61200,1177
Brooklyn,61600,1521
Brooklyn,62000,1759
Brooklyn,62200,3064
Brooklyn,62600,2720
Brooklyn,62800,5509
Brooklyn,63200,1368
Brooklyn,63600,1283
Brooklyn,63800,1507
Brooklyn,64000,1488
Brooklyn,64200,2693
Brooklyn,64400,2299
Brooklyn,64600,2064
Brooklyn,64800,1974
Brooklyn,65000,1425
Brooklyn,65200,1173
Brooklyn,65400,1611
Brooklyn,65600,1826
Brooklyn,65800,1849
Brooklyn,66000,1662
Brooklyn,66200,1366
Brooklyn,66600,1
Brooklyn,67000,2364
Brooklyn,67200,1319
Brooklyn,67400,2009
Brooklyn,67600,1738
Brooklyn,67800,2637
Brooklyn,68000,1780
Brooklyn,68200,2238
Brooklyn,68600,1546
Brooklyn,68800,1559
Brooklyn,69000,1773
Brooklyn,69200,2353
Brooklyn,69601,3344
Brooklyn,69602,4583
Brooklyn,69800,1394
Brooklyn,70000,1736
Brooklyn,70201,6502
Brooklyn,70202,15
Brooklyn,70203,0
Brooklyn,70600,2876
Brooklyn,72000,1643
Brooklyn,72200,2853
Brooklyn,72400,1984
Brooklyn,72600,2535
Brooklyn,72800,3777
Brooklyn,73000,2327
Brooklyn,73200,2345
Brooklyn,73400,2165
Brooklyn,73600,3356
Brooklyn,73800,3306
Brooklyn,74000,3623
Brooklyn,74200,3348
Brooklyn,74400,2349
Brooklyn,74600,1985
Brooklyn,74800,2094
Brooklyn,75000,3148
Brooklyn,75200,1260
Brooklyn,75400,1600
Brooklyn,75600,1974
Brooklyn,75800,1877
Brooklyn,76000,2993
Brooklyn,76200,4671
Brooklyn,76400,4192
Brooklyn,76600,2297
Brooklyn,76800,3601
Brooklyn,77000,3063
Brooklyn,77200,3325
Brooklyn,77400,3121
Brooklyn,77600,4123
Brooklyn,78000,2555
Brooklyn,78200,4320
Brooklyn,78400,2740
Brooklyn,78600,4469
Brooklyn,78800,3775
Brooklyn,79000,5908
Brooklyn,79200,3815
Brooklyn,79400,1932
Brooklyn,79601,5195
Brooklyn,79602,5189
Brooklyn,79801,3579
Brooklyn,79802,5512
Brooklyn,80000,3927
Brooklyn,80200,4817
Brooklyn,80400,3380
Brooklyn,80600,2770
Brooklyn,80800,0
Brooklyn,81000,2444
Brooklyn,81400,3080
Brooklyn,81600,3011
Brooklyn,81800,5253
Brooklyn,82000,5392
Brooklyn,82200,7463
Brooklyn,82400,4448
Brooklyn,82600,6051
Brooklyn,82800,3985
Brooklyn,83000,6563
Brooklyn,83200,2563
Brooklyn,83400,2132
Brooklyn,83600,2186
Brooklyn,83800,2521
Brooklyn,84000,2512
Brooklyn,84600,2164
Brooklyn,84800,1792
Brooklyn,85000,1435
Brooklyn,85200,0
Brooklyn,85400,2210
Brooklyn,85600,3898
Brooklyn,85800,2443
Brooklyn,86000,3665
Brooklyn,86200,3395
Brooklyn,86400,2134
Brooklyn,86600,3215
Brooklyn,86800,3438
Brooklyn,87000,3216
Brooklyn,87200,3627
Brooklyn,87401,3315
Brooklyn,87600,1707
Brooklyn,87800,3165
Brooklyn,88000,2721
Brooklyn,88200,6761
Brooklyn,88400,5097
Brooklyn,88600,4650
Brooklyn,88800,4124
Brooklyn,89000,6566
Brooklyn,89200,4012
Brooklyn,89400,3664
Brooklyn,89600,3654
Brooklyn,89800,1530
Brooklyn,90000,5520
Brooklyn,90200,4884
Brooklyn,90600,4151
Brooklyn,90800,3376
Brooklyn,91000,5642
Brooklyn,91200,7340
Brooklyn,91600,4238
Brooklyn,91800,2847
Brooklyn,92000,2892
Brooklyn,92200,2865
Brooklyn,92400,2484
Brooklyn,92800,2801
Brooklyn,93000,2775
Brooklyn,93200,1356
Brooklyn,93400,2402
Brooklyn,93600,1876
Brooklyn,93800,2654
Brooklyn,94401,3350
Brooklyn,94402,2826
Brooklyn,94600,2090
Brooklyn,95000,3182
Brooklyn,95400,4742
Brooklyn,95600,3966
Brooklyn,95800,3351
Brooklyn,96000,3
Brooklyn,96200,1674
Brooklyn,96400,2161
Brooklyn,96600,2128
Brooklyn,96800,1395
Brooklyn,97000,2078
Brooklyn,97400,2599
Brooklyn,98200,4542
Brooklyn,98400,2066
Brooklyn,98600,3128
Brooklyn,98800,3074
Brooklyn,99000,1531
Brooklyn,99200,1847
Brooklyn,99400,1930
Brooklyn,99600,3875
Brooklyn,99800,3736
Brooklyn,100400,2779
Brooklyn,100600,2581
Brooklyn,100800,2087
Brooklyn,101000,2155
Brooklyn,101200,2016
Brooklyn,101400,2189
Brooklyn,101600,1572
Brooklyn,101800,2020
Brooklyn,102000,2055
Brooklyn,102200,2106
