Borough,Year,FIPS County Code,DCP Borough Code,Census Tract,Population
Brooklyn,2000,047,3,012801,2006
Brooklyn,2000,047,3,012901,2239
Brooklyn,2000,047,3,012902,2125
Brooklyn,2000,047,3,013000,4733
Brooklyn,2000,047,3,013100,3994
Brooklyn,2000,047,3,013200,2165
Brooklyn,2000,047,3,013300,3667
Brooklyn,2000,047,3,013400,3890
Brooklyn,2000,047,3,013500,2830
Brooklyn,2000,047,3,013600,3924
Brooklyn,2000,047,3,013700,2972
Brooklyn,2000,047,3,013800,3206
Brooklyn,2000,047,3,013900,3832
Brooklyn,2000,047,3,014000,2012
Brooklyn,2000,047,3,014100,2737
Brooklyn,2000,047,3,014200,3238
Brooklyn,2000,047,3,014300,3682
Brooklyn,2000,047,3,014500,4326
Brooklyn,2000,047,3,014700,1980
Brooklyn,2000,047,3,014800,1222
Brooklyn,2000,047,3,014900,4774
Brooklyn,2000,047,3,015000,1564
Brooklyn,2000,047,3,015100,3390
Brooklyn,2000,047,3,015200,2240
Brooklyn,2000,047,3,015300,2955
Brooklyn,2000,047,3,015400,0
Brooklyn,2000,047,3,015500,3312
Brooklyn,2000,047,3,015700,4143
Brooklyn,2000,047,3,015900,5091
Brooklyn,2000,047,3,016000,4246
Brooklyn,2000,047,3,016100,2568
Brooklyn,2000,047,3,016200,1886
Brooklyn,2000,047,3,016300,3175
Brooklyn,2000,047,3,016400,1173
Brooklyn,2000,047,3,016500,4847
Brooklyn,2000,047,3,016600,2042
Brooklyn,2000,047,3,016700,4534
Brooklyn,2000,047,3,016800,1425
Brooklyn,2000,047,3,016900,4800
Brooklyn,2000,047,3,017000,2882
Brooklyn,2000,047,3,017100,3449
Brooklyn,2000,047,3,017200,2892
Brooklyn,2000,047,3,017400,1751
Brooklyn,2000,047,3,017500,28
Brooklyn,2000,047,3,017600,2239
Brooklyn,2000,047,3,017700,11
Brooklyn,2000,047,3,017800,2579
Brooklyn,2000,047,3,017900,3379
Brooklyn,2000,047,3,018000,2803
Brooklyn,2000,047,3,018100,3895
Brooklyn,2000,047,3,018200,3039
Brooklyn,2000,047,3,018300,2502
Brooklyn,2000,047,3,018400,1977
Brooklyn,2000,047,3,018501,4803
Brooklyn,2000,047,3,018600,1848
Brooklyn,2000,047,3,018700,1228
Brooklyn,2000,047,3,018800,2615
Brooklyn,2000,047,3,019000,4595
Brooklyn,2000,047,3,019100,2816
Brooklyn,2000,047,3,019200,2320
Brooklyn,2000,047,3,019300,5214
Brooklyn,2000,047,3,019400,3070
Brooklyn,2000,047,3,019500,3821
Brooklyn,2000,047,3,019600,3849
Brooklyn,2000,047,3,019700,3577
Brooklyn,2000,047,3,019800,1710
Brooklyn,2000,047,3,019900,2946
Brooklyn,2000,047,3,020000,1940
Brooklyn,2000,047,3,020100,3632
Brooklyn,2000,047,3,020200,1758
Brooklyn,2000,047,3,020300,1192
Brooklyn,2000,047,3,020400,1960
Brooklyn,2000,047,3,020500,2444
Brooklyn,2000,047,3,020600,2192
Brooklyn,2000,047,3,020700,4659
Brooklyn,2000,047,3,020800,2657
Brooklyn,2000,047,3,021000,3307
Brooklyn,2000,047,3,021100,1533
Brooklyn,2000,047,3,021200,3638
Brooklyn,2000,047,3,021300,4735
Brooklyn,2000,047,3,021400,1811
Brooklyn,2000,047,3,021500,5617
Brooklyn,2000,047,3,021600,3601
Brooklyn,2000,047,3,021700,3843
Brooklyn,2000,047,3,021800,3785
Brooklyn,2000,047,3,021900,3820
Brooklyn,2000,047,3,022000,4452
Brooklyn,2000,047,3,022100,3928
Brooklyn,2000,047,3,022200,4719
Brooklyn,2000,047,3,022400,4943
Brooklyn,2000,047,3,022600,2544
Brooklyn,2000,047,3,022700,3406
Brooklyn,2000,047,3,022800,3426
Brooklyn,2000,047,3,022900,3153
Brooklyn,2000,047,3,023000,4176
Brooklyn,2000,047,3,023100,2774
Brooklyn,2000,047,3,023200,6059
Brooklyn,2000,047,3,023300,4875
Brooklyn,2000,047,3,023400,4710
Brooklyn,2000,047,3,023500,1953
Brooklyn,2000,047,3,023600,5222
Brooklyn,2000,047,3,023800,4470
Brooklyn,2000,047,3,024000,4634
Brooklyn,2000,047,3,024100,1564
Brooklyn,2000,047,3,024200,2808
Brooklyn,2000,047,3,024300,3954
Brooklyn,2000,047,3,024400,3069
Brooklyn,2000,047,3,024500,3555
Brooklyn,2000,047,3,024600,2911
Brooklyn,2000,047,3,024700,2349
Brooklyn,2000,047,3,024800,2448
Brooklyn,2000,047,3,024900,4240
Brooklyn,2000,047,3,025000,1532
Brooklyn,2000,047,3,025100,3779
Brooklyn,2000,047,3,025200,4654
Brooklyn,2000,047,3,025300,2528
Brooklyn,2000,047,3,025400,3379
Brooklyn,2000,047,3,025500,5077
Brooklyn,2000,047,3,025600,2956
Brooklyn,2000,047,3,025700,2026
Brooklyn,2000,047,3,025800,4329
Brooklyn,2000,047,3,025901,1887
Brooklyn,2000,047,3,025902,3595
Brooklyn,2000,047,3,026000,3463
Brooklyn,2000,047,3,026100,4445
Brooklyn,2000,047,3,026200,2364
Brooklyn,2000,047,3,026300,1877
Brooklyn,2000,047,3,026400,4440
Brooklyn,2000,047,3,026500,3717
Brooklyn,2000,047,3,026600,3399
Brooklyn,2000,047,3,026700,4151
Brooklyn,2000,047,3,026800,4017
Brooklyn,2000,047,3,026900,2809
Brooklyn,2000,047,3,027000,2337
Brooklyn,2000,047,3,027100,2810
Brooklyn,2000,047,3,027200,3449
Brooklyn,2000,047,3,027300,3061
Brooklyn,2000,047,3,027400,2885
Brooklyn,2000,047,3,027500,4171
Brooklyn,2000,047,3,027600,3331
Brooklyn,2000,047,3,027700,4001
Brooklyn,2000,047,3,027800,2758
Brooklyn,2000,047,3,027900,3791
Brooklyn,2000,047,3,028000,1685
Brooklyn,2000,047,3,028100,3579
Brooklyn,2000,047,3,028200,2890
Brooklyn,2000,047,3,028300,3624
Brooklyn,2000,047,3,028400,3826
Brooklyn,2000,047,3,028501,1422
Brooklyn,2000,047,3,028502,2921
Brooklyn,2000,047,3,028600,4984
Brooklyn,2000,047,3,028700,2755
Brooklyn,2000,047,3,028800,3503
Brooklyn,2000,047,3,028900,3432
Brooklyn,2000,047,3,029000,3802
Brooklyn,2000,047,3,029100,2777
Brooklyn,2000,047,3,029200,2442
Brooklyn,2000,047,3,029300,3277
Brooklyn,2000,047,3,029400,2351
Brooklyn,2000,047,3,029500,3745
Brooklyn,2000,047,3,029600,5343
Brooklyn,2000,047,3,029700,3349
Brooklyn,2000,047,3,029800,3355
Brooklyn,2000,047,3,029900,1657
Brooklyn,2000,047,3,030000,3576
Brooklyn,2000,047,3,030100,2650
Brooklyn,2000,047,3,030200,3711
Brooklyn,2000,047,3,030300,3409
Brooklyn,2000,047,3,030400,3966
Brooklyn,2000,047,3,030500,4777
Brooklyn,2000,047,3,030600,1918
Brooklyn,2000,047,3,030700,3734
Brooklyn,2000,047,3,030800,1691
Brooklyn,2000,047,3,030900,1593
Brooklyn,2000,047,3,031100,2650
Brooklyn,2000,047,3,031300,4782
