ntacode,"<10,000","10,000-14,999","15,000-24,999","25,000-34,999","35,000-49,999","50,000-74,999","75,000-99,999","100,000-149,999","150,000-199,999",">200,000"
BX33,2227.0,991.0,1353.0,1114.0,894.0,872.0,430.0,318.0,82.0,37.0
BX34,2998.0,1670.0,2167.0,1695.0,1758.0,1377.0,562.0,396.0,132.0,21.0
BX39,4511.0,2591.0,3252.0,2109.0,2011.0,1567.0,779.0,487.0,142.0,48.0
BX98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX01,2584.0,1455.0,1417.0,1284.0,1282.0,1028.0,457.0,292.0,32.0,16.0
BX06,2201.0,1208.0,1374.0,1248.0,953.0,864.0,240.0,145.0,86.0,0.0
BX17,3827.0,2043.0,2361.0,1586.0,1619.0,1381.0,807.0,476.0,132.0,13.0
BX35,2892.0,1121.0,2371.0,1344.0,2032.0,1313.0,802.0,463.0,101.0,36.0
BX75,1758.0,759.0,1166.0,916.0,822.0,907.0,338.0,179.0,47.0,20.0
BX14,4268.0,2378.0,3217.0,2211.0,3251.0,3318.0,1323.0,998.0,306.0,73.0
BX26,2480.0,1447.0,2644.0,1594.0,1665.0,1459.0,960.0,407.0,21.0,34.0
BX63,2027.0,1504.0,1923.0,1942.0,2088.0,2057.0,733.0,429.0,85.0,7.0
BX36,3451.0,1954.0,3189.0,2171.0,2737.0,2288.0,1087.0,487.0,225.0,42.0
BX40,1812.0,1115.0,1510.0,920.0,1182.0,918.0,572.0,257.0,30.0,22.0
BX41,3064.0,1766.0,2891.0,2072.0,2485.0,2386.0,1130.0,490.0,156.0,88.0
BX05,3248.0,1887.0,3326.0,1824.0,2450.0,2592.0,1434.0,1164.0,162.0,166.0
BX30,1894.0,1032.0,1635.0,1496.0,1505.0,1499.0,778.0,528.0,150.0,82.0
BX43,2012.0,1326.0,1998.0,1663.0,1760.0,2891.0,1412.0,811.0,215.0,104.0
BX22,624.0,290.0,859.0,592.0,1104.0,1935.0,1379.0,1962.0,809.0,1355.0
BX28,2084.0,1313.0,2099.0,2289.0,2560.0,3497.0,1471.0,1408.0,500.0,126.0
BX29,841.0,503.0,1131.0,925.0,1333.0,2488.0,1590.0,1921.0,973.0,1036.0
BX08,2039.0,1123.0,1796.0,1282.0,1390.0,1796.0,984.0,784.0,136.0,118.0
BX09,2510.0,1575.0,2763.0,2237.0,2362.0,2746.0,1788.0,1819.0,584.0,273.0
BX46,1096.0,559.0,1364.0,1297.0,2142.0,3055.0,1693.0,1062.0,260.0,62.0
BX55,2075.0,1001.0,1714.0,1314.0,1724.0,1697.0,749.0,567.0,277.0,129.0
BX59,948.0,653.0,1262.0,782.0,1407.0,1602.0,955.0,867.0,232.0,80.0
BX10,961.0,707.0,1031.0,1084.0,1412.0,1909.0,1312.0,1864.0,618.0,349.0
BX13,1485.0,972.0,2599.0,2080.0,2641.0,3193.0,2341.0,1947.0,748.0,252.0
BX52,1423.0,791.0,1586.0,1197.0,1867.0,2702.0,2463.0,2830.0,1124.0,672.0
BX07,2564.0,1184.0,1560.0,1343.0,2061.0,2051.0,1578.0,953.0,137.0,48.0
